RTO_iter	rho	tr	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
21	1.048944e+00	1.000000e+00	-1.892036e+02	-2.081268e+02	3.967319e+01	3.956705e-07	1.202242e-01	3.802276e-01	2.782261e-01	9.800855e-02	1.233136e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.892938e+01	-4.427279e+01	3.814308e+01	-1.568834e+01	-3.967323e+01	-3.533934e-02	-8.080490e-02	-8.876876e-01
22	1.049348e+00	1.000000e+00	-1.889357e+02	-2.082533e+02	3.974698e+01	3.964347e-07	1.199815e-01	3.804442e-01	2.781792e-01	9.793690e-02	1.234582e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.932348e+01	-4.441344e+01	3.815970e+01	-1.576514e+01	-3.974701e+01	-3.549813e-02	-8.114799e-02	-8.884822e-01
23	1.049775e+00	1.000000e+00	-1.886706e+02	-2.083721e+02	3.981833e+01	3.971733e-07	1.197472e-01	3.806538e-01	2.781337e-01	9.786768e-02	1.235976e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.970701e+01	-4.454943e+01	3.817556e+01	-1.583950e+01	-3.981836e+01	-3.565159e-02	-8.148080e-02	-8.892495e-01
24	1.050225e+00	1.000000e+00	-1.884088e+02	-2.084838e+02	3.988734e+01	3.978874e-07	1.195207e-01	3.808569e-01	2.780896e-01	9.780078e-02	1.237320e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.008032e+01	-4.468095e+01	3.819071e+01	-1.591154e+01	-3.988737e+01	-3.579995e-02	-8.180373e-02	-8.899908e-01
25	1.050699e+00	1.000000e+00	-1.881501e+02	-2.085888e+02	3.995413e+01	3.985782e-07	1.193019e-01	3.810535e-01	2.780467e-01	9.773611e-02	1.238617e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.044373e+01	-4.480819e+01	3.820520e+01	-1.598134e+01	-3.995415e+01	-3.594343e-02	-8.211714e-02	-8.907074e-01
26	1.051196e+00	1.000000e+00	-1.878949e+02	-2.086877e+02	4.001878e+01	3.992466e-07	1.190903e-01	3.812440e-01	2.780051e-01	9.767357e-02	1.239870e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.079756e+01	-4.493134e+01	3.821905e+01	-1.604899e+01	-4.001880e+01	-3.608225e-02	-8.242139e-02	-8.914003e-01
27	1.051717e+00	1.000000e+00	-1.876431e+02	-2.087807e+02	4.008138e+01	3.998937e-07	1.188856e-01	3.814287e-01	2.779647e-01	9.761305e-02	1.241079e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.114211e+01	-4.505057e+01	3.823230e+01	-1.611458e+01	-4.008140e+01	-3.621661e-02	-8.271682e-02	-8.920706e-01
28	1.052263e+00	1.000000e+00	-1.873949e+02	-2.088683e+02	4.014201e+01	4.005202e-07	1.186876e-01	3.816077e-01	2.779255e-01	9.755449e-02	1.242248e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.147767e+01	-4.516604e+01	3.824499e+01	-1.617819e+01	-4.014204e+01	-3.634668e-02	-8.300373e-02	-8.927191e-01
29	1.052834e+00	1.000000e+00	-1.871503e+02	-2.089508e+02	4.020077e+01	4.011270e-07	1.184959e-01	3.817812e-01	2.778874e-01	9.749779e-02	1.243377e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.180451e+01	-4.527790e+01	3.825715e+01	-1.623990e+01	-4.020079e+01	-3.647266e-02	-8.328245e-02	-8.933469e-01
30	1.053430e+00	1.000000e+00	-1.869095e+02	-2.090285e+02	4.025771e+01	4.017150e-07	1.183103e-01	3.819495e-01	2.778504e-01	9.744288e-02	1.244469e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.212290e+01	-4.538629e+01	3.826879e+01	-1.629977e+01	-4.025773e+01	-3.659469e-02	-8.355325e-02	-8.939548e-01
31	1.054051e+00	1.000000e+00	-1.866723e+02	-2.091017e+02	4.031292e+01	4.022849e-07	1.181306e-01	3.821128e-01	2.778144e-01	9.738968e-02	1.245525e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.243310e+01	-4.549135e+01	3.827996e+01	-1.635787e+01	-4.031294e+01	-3.671296e-02	-8.381641e-02	-8.945436e-01
32	1.054699e+00	1.000000e+00	-1.864389e+02	-2.091708e+02	4.036646e+01	4.028374e-07	1.179565e-01	3.822712e-01	2.777794e-01	9.733813e-02	1.246547e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.273535e+01	-4.559321e+01	3.829067e+01	-1.641428e+01	-4.036648e+01	-3.682759e-02	-8.407219e-02	-8.951140e-01
33	1.055374e+00	1.000000e+00	-1.862094e+02	-2.092359e+02	4.041840e+01	4.033732e-07	1.177878e-01	3.824250e-01	2.777454e-01	9.728816e-02	1.247536e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.302988e+01	-4.569200e+01	3.830095e+01	-1.646904e+01	-4.041841e+01	-3.693873e-02	-8.432085e-02	-8.956669e-01
34	1.056077e+00	1.000000e+00	-1.859836e+02	-2.092973e+02	4.046878e+01	4.038929e-07	1.176243e-01	3.825742e-01	2.777124e-01	9.723971e-02	1.248494e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.331693e+01	-4.578782e+01	3.831082e+01	-1.652223e+01	-4.046880e+01	-3.704653e-02	-8.456262e-02	-8.962028e-01
35	1.056807e+00	1.000000e+00	-1.857616e+02	-2.093552e+02	4.051768e+01	4.043971e-07	1.174658e-01	3.827191e-01	2.776802e-01	9.719273e-02	1.249422e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.359670e+01	-4.588079e+01	3.832030e+01	-1.657389e+01	-4.051770e+01	-3.715109e-02	-8.479773e-02	-8.967225e-01
36	1.057567e+00	1.000000e+00	-1.855434e+02	-2.094099e+02	4.056515e+01	4.048864e-07	1.173120e-01	3.828598e-01	2.776490e-01	9.714715e-02	1.250320e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.386941e+01	-4.597101e+01	3.832941e+01	-1.662408e+01	-4.056516e+01	-3.725255e-02	-8.502641e-02	-8.972265e-01
37	1.058356e+00	1.000000e+00	-1.853290e+02	-2.094615e+02	4.061124e+01	4.053614e-07	1.171629e-01	3.829965e-01	2.776186e-01	9.710292e-02	1.251191e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.413526e+01	-4.605859e+01	3.833817e+01	-1.667285e+01	-4.061125e+01	-3.735102e-02	-8.524887e-02	-8.977156e-01
38	1.059177e+00	1.000000e+00	-1.851185e+02	-2.095102e+02	4.065599e+01	4.058225e-07	1.170182e-01	3.831293e-01	2.775890e-01	9.706000e-02	1.252035e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.439444e+01	-4.614362e+01	3.834659e+01	-1.672025e+01	-4.065600e+01	-3.744661e-02	-8.546530e-02	-8.981901e-01
39	1.060028e+00	1.000000e+00	-1.849116e+02	-2.095562e+02	4.069946e+01	4.062703e-07	1.168778e-01	3.832583e-01	2.775602e-01	9.701833e-02	1.252854e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.464715e+01	-4.622619e+01	3.835469e+01	-1.676632e+01	-4.069947e+01	-3.753943e-02	-8.567589e-02	-8.986506e-01
40		1.000000e+00	-1.847085e+02	-2.095997e+02	4.074169e+01	4.067053e-07	1.167415e-01	3.833836e-01	2.775322e-01	9.697788e-02	1.253647e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-2.489356e+01	-4.630639e+01	3.836249e+01	-1.681112e+01	-4.074170e+01	-3.762956e-02	-8.588084e-02	-8.990977e-01
