RTO_iter	cost_unmodified	cost	con_unmodified	con	XFr_A	XFr_B	XFr_E	XFr_P	XFr_G	Ka1	Ka2	Kb1	Kb2	cost_eps	Fa_cost_lam	Fb_cost_lam	Tr_cost_lam	con_eps	Fa_con_lam	Fb_con_lam	Tr_con_lam
18	-4.187419e+01	-3.555108e+02	6.605340e-02	1.000010e-08	4.331179e-02	4.465257e-01	2.751957e-01	8.891338e-02	1.460534e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370739e+02	-8.760131e+01	2.777486e+01	-1.521634e+01	-5.601308e-02	-1.440370e-02	3.626947e-03	-1.077659e-03
19	-1.273319e+02	-2.817119e+02	7.036463e-02	9.980695e-09	1.287545e-01	3.480456e-01	2.819713e-01	9.086408e-02	1.503646e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041664e+02	4.250850e+01	3.033512e+01	-1.912896e+01	-5.276142e-02	-9.690276e-04	-8.750185e-04	-1.702170e-03
20	-4.185919e+01	-3.555196e+02	6.605586e-02	1.000010e-08	4.330932e-02	4.465270e-01	2.751954e-01	8.891242e-02	1.460559e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370865e+02	-8.760366e+01	2.777373e+01	-1.521618e+01	-5.601380e-02	-1.440424e-02	3.627013e-03	-1.077603e-03
21	-1.273284e+02	-2.817163e+02	7.036607e-02	9.980672e-09	1.287519e-01	3.480464e-01	2.819718e-01	9.086387e-02	1.503661e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041712e+02	4.250957e+01	3.033491e+01	-1.912904e+01	-5.276213e-02	-9.688475e-04	-8.749286e-04	-1.702167e-03
22	-4.185452e+01	-3.555224e+02	6.605662e-02	1.000010e-08	4.330854e-02	4.465274e-01	2.751953e-01	8.891213e-02	1.460566e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370904e+02	-8.760440e+01	2.777338e+01	-1.521613e+01	-5.601403e-02	-1.440441e-02	3.627034e-03	-1.077586e-03
23	-1.273273e+02	-2.817177e+02	7.036652e-02	9.980665e-09	1.287511e-01	3.480466e-01	2.819719e-01	9.086380e-02	1.503665e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041728e+02	4.250990e+01	3.033485e+01	-1.912906e+01	-5.276235e-02	-9.687913e-04	-8.749006e-04	-1.702166e-03
24	-4.185306e+01	-3.555233e+02	6.605686e-02	1.000010e-08	4.330830e-02	4.465275e-01	2.751953e-01	8.891203e-02	1.460569e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370917e+02	-8.760463e+01	2.777327e+01	-1.521612e+01	-5.601410e-02	-1.440446e-02	3.627041e-03	-1.077580e-03
25	-1.273270e+02	-2.817181e+02	7.036666e-02	9.980662e-09	1.287509e-01	3.480467e-01	2.819720e-01	9.086378e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041732e+02	4.251000e+01	3.033483e+01	-1.912907e+01	-5.276242e-02	-9.687738e-04	-8.748919e-04	-1.702165e-03
26	-4.185261e+01	-3.555235e+02	6.605693e-02	1.000010e-08	4.330823e-02	4.465275e-01	2.751953e-01	8.891200e-02	1.460569e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370920e+02	-8.760470e+01	2.777324e+01	-1.521611e+01	-5.601412e-02	-1.440448e-02	3.627043e-03	-1.077578e-03
27	-1.273269e+02	-2.817183e+02	7.036670e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251004e+01	3.033482e+01	-1.912907e+01	-5.276244e-02	-9.687684e-04	-8.748892e-04	-1.702165e-03
28	-4.185247e+01	-3.555236e+02	6.605696e-02	1.000010e-08	4.330821e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760472e+01	2.777323e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627043e-03	-1.077578e-03
29	-1.273268e+02	-2.817183e+02	7.036671e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687667e-04	-8.748883e-04	-1.702165e-03
30	-4.185242e+01	-3.555236e+02	6.605696e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777323e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
31	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687661e-04	-8.748880e-04	-1.702165e-03
32	-4.185241e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
33	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687660e-04	-8.748880e-04	-1.702165e-03
34	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
35	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
36	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
37	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
38	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
39	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
40	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
41	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
42	-4.185240e+01	-3.555237e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
43	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
44	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
45	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
46	-4.185240e+01	-3.555237e+02	6.605697e-02	1.000010e-08	4.330819e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
47	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
48	-4.185240e+01	-3.555237e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
49	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
50	-4.185240e+01	-3.555237e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
51	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
52	-4.185240e+01	-3.555237e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
53	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980662e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
54	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
55	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
56	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
57	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
58	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
59	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
60	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
61	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
62	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
63	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
64	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
65	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980662e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
66	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
67	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
68	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
69	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
70	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
71	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
72	-4.185240e+01	-3.555237e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
73	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
74	-4.185240e+01	-3.555236e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
75	-1.273268e+02	-2.817183e+02	7.036672e-02	9.980661e-09	1.287508e-01	3.480467e-01	2.819720e-01	9.086377e-02	1.503667e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.041734e+02	4.251005e+01	3.033482e+01	-1.912907e+01	-5.276245e-02	-9.687659e-04	-8.748879e-04	-1.702165e-03
76	-4.185240e+01	-3.555237e+02	6.605697e-02	1.000010e-08	4.330820e-02	4.465276e-01	2.751953e-01	8.891199e-02	1.460570e-01	2.189000e+08	4.310000e+13	8.077600e+03	1.243800e+04	-1.370922e+02	-8.760473e+01	2.777322e+01	-1.521611e+01	-5.601413e-02	-1.440449e-02	3.627044e-03	-1.077578e-03
